model,alg,workers,time,date,sccs,ustates,utrans,tstates,ttrans,initstates,selfloop,claimdead,claimfound,claimsuccess

bakery.6,tarjan,1,40.460,2015-11-24.17:07:11,2636212,11845035,40400559,11845035,40400559,1,-1,-1,-1,-1
cambridge.6,tarjan,1,14.990,2015-11-24.17:07:28,8413,3354295,9483191,3354295,9483191,1,-1,-1,-1,-1
leader_filters.7,tarjan,1,70.410,2015-11-24.17:08:39,26302351,26302351,91692858,26302351,91692858,1,-1,-1,-1,-1
lup.3,tarjan,1,5.420,2015-11-24.17:08:47,1,1948617,3621672,1948617,3621672,1,-1,-1,-1,-1
resistance.1,tarjan,1,38.880,2015-11-24.17:09:26,3,13762624,32052024,13762624,32052024,1,-1,-1,-1,-1
sorter.3,tarjan,1,2.910,2015-11-24.17:09:31,1177164,1288478,2740540,1288478,2740540,1,-1,-1,-1,-1
bakery.6,ufscc,1,39.350,2015-11-24.17:10:11,2636212,11845035,40400559,11845035,40400560,1,0,7207804,21347721,11845035
cambridge.6,ufscc,1,15.420,2015-11-24.17:10:28,8413,3354295,9483191,3354295,9483192,1,0,9724,6119173,3354295
leader_filters.7,ufscc,1,87.050,2015-11-24.17:11:57,26302351,26302351,91692858,26302351,91692859,1,0,65390508,0,26302351
lup.3,ufscc,1,11.650,2015-11-24.17:12:11,1,1948617,3621672,1948617,3621673,1,0,0,1673056,1948617
resistance.1,ufscc,1,34.520,2015-11-24.17:12:46,3,13762624,32052024,13762624,32052025,1,0,1,18289400,13762624
sorter.3,ufscc,1,4.830,2015-11-24.17:12:52,1177164,1288478,2740540,1288478,2740541,1,251094,1024992,175977,1288478
bakery.6,renault,1,46.850,2015-11-24.17:13:40,2636212,11845035,40400559,11845035,40400559,1,-1,-1,-1,-1
cambridge.6,renault,1,18.110,2015-11-24.17:14:00,8413,3354295,9483191,3354295,9483191,1,-1,-1,-1,-1
leader_filters.7,renault,1,79.430,2015-11-24.17:15:20,26302351,26302351,91692858,26302351,91692858,1,-1,-1,-1,-1
lup.3,renault,1,7.100,2015-11-24.17:15:30,1,1948617,3621672,1948617,3621672,1,-1,-1,-1,-1
resistance.1,renault,1,44.840,2015-11-24.17:16:15,3,13762624,32052024,13762624,32052024,1,-1,-1,-1,-1
sorter.3,renault,1,3.940,2015-11-24.17:16:21,1177164,1288478,2740540,1288478,2740540,1,-1,-1,-1,-1
bakery.6,ufscc,2,25.940,2015-11-24.17:16:48,2636212,11845035,40400559,12818249,43844874,1,0,7282317,22891938,11943610
cambridge.6,ufscc,2,11.130,2015-11-24.17:17:00,8413,3354295,9483191,3358989,9500731,1,0,9733,6127949,3356171
leader_filters.7,ufscc,2,45.670,2015-11-24.17:17:48,26302351,26302351,91692858,26306855,91713100,1,0,65400125,0,26306855
lup.3,ufscc,2,5.630,2015-11-24.17:17:56,1,1948617,3621672,1952667,3630917,1,0,0,1677313,1950041
resistance.1,ufscc,2,20.010,2015-11-24.17:18:16,3,13762624,32052024,14931803,34792776,1,0,1,19546520,14001045
sorter.3,ufscc,2,3.450,2015-11-24.17:18:21,1177164,1288478,2740540,1292493,2748197,1,251636,1026580,176321,1292286
bakery.6,renault,2,46.950,2015-11-24.17:19:09,2636212,11845035,40400559,20618456,70846288,1,-1,-1,-1,-1
cambridge.6,renault,2,17.750,2015-11-24.17:19:28,8413,3354295,9483191,6700178,18951606,1,-1,-1,-1,-1
leader_filters.7,renault,2,45.000,2015-11-24.17:20:15,26302351,26302351,91692858,26423957,92132627,1,-1,-1,-1,-1
lup.3,renault,2,7.760,2015-11-24.17:20:25,1,1948617,3621672,3897234,7243344,1,-1,-1,-1,-1
resistance.1,renault,2,45.390,2015-11-24.17:21:11,3,13762624,32052024,27525247,64104047,1,-1,-1,-1,-1
sorter.3,renault,2,2.280,2015-11-24.17:21:15,1177164,1288478,2740540,1294749,2752892,1,-1,-1,-1,-1
bakery.6,ufscc,4,13.440,2015-11-24.17:21:29,2636212,11845035,40400559,11867620,40483865,1,0,7214455,21376270,11854019
cambridge.6,ufscc,4,5.780,2015-11-24.17:21:36,8413,3354295,9483191,3384034,9581056,1,0,9731,6158657,3364921
leader_filters.7,ufscc,4,23.290,2015-11-24.17:22:01,26302351,26302351,91692858,26307253,91712739,1,0,65398592,0,26307253
lup.3,ufscc,4,3.260,2015-11-24.17:22:07,1,1948617,3621672,2003914,3727393,1,0,0,1715861,1956763
resistance.1,ufscc,4,14.400,2015-11-24.17:22:22,3,13762624,32052024,16039548,37288475,1,0,1,19910407,14927394
sorter.3,ufscc,4,2.070,2015-11-24.17:22:25,1177164,1288478,2740540,1331550,2836602,1,259211,1044607,187883,1326709
bakery.6,renault,4,46.790,2015-11-24.17:23:13,2636212,11845035,40400559,37646292,129826798,1,-1,-1,-1,-1
cambridge.6,renault,4,18.790,2015-11-24.17:23:34,8413,3354295,9483191,13391944,37888436,1,-1,-1,-1,-1
leader_filters.7,renault,4,22.450,2015-11-24.17:23:58,26302351,26302351,91692858,26473679,92408883,1,-1,-1,-1,-1
lup.3,renault,4,7.270,2015-11-24.17:24:07,1,1948617,3621672,7794468,14486688,1,-1,-1,-1,-1
resistance.1,renault,4,51.180,2015-11-24.17:24:59,3,13762624,32052024,54779423,127626631,1,-1,-1,-1,-1
sorter.3,renault,4,1.560,2015-11-24.17:25:02,1177164,1288478,2740540,1622863,3471030,1,-1,-1,-1,-1
bakery.6,ufscc,6,9.440,2015-11-24.17:25:12,2636212,11845035,40400559,11954124,40791276,1,0,7233950,21477103,11880037
cambridge.6,ufscc,6,4.720,2015-11-24.17:25:19,8413,3354295,9483191,3407999,9653918,1,0,9810,6183008,3374504
leader_filters.7,ufscc,6,16.890,2015-11-24.17:25:37,26302351,26302351,91692858,26323199,91774919,1,0,65423132,0,26323199
lup.3,ufscc,6,4.420,2015-11-24.17:25:44,1,1948617,3621672,1977439,3685721,1,0,0,1699717,1959103
resistance.1,ufscc,6,9.490,2015-11-24.17:25:54,3,13762624,32052024,16971121,40283455,1,0,1,21208801,14820164
sorter.3,ufscc,6,1.180,2015-11-24.17:25:57,1177164,1288478,2740540,1349276,2863621,1,261340,1047723,183401,1345322
bakery.6,renault,6,49.690,2015-11-24.17:26:48,2636212,11845035,40400559,54093452,186747883,1,-1,-1,-1,-1
cambridge.6,renault,6,18.390,2015-11-24.17:27:08,8413,3354295,9483191,20083710,56825266,1,-1,-1,-1,-1
leader_filters.7,renault,6,15.690,2015-11-24.17:27:25,26302351,26302351,91692858,26879798,94012255,1,-1,-1,-1,-1
lup.3,renault,6,7.280,2015-11-24.17:27:35,1,1948617,3621672,11691702,21730032,1,-1,-1,-1,-1
resistance.1,renault,6,51.620,2015-11-24.17:28:27,3,13762624,32052024,82466409,192071613,1,-1,-1,-1,-1
sorter.3,renault,6,1.310,2015-11-24.17:28:30,1177164,1288478,2740540,2032853,4316219,1,-1,-1,-1,-1
bakery.6,ufscc,8,7.690,2015-11-24.17:28:38,2636212,11845035,40400559,11918035,40660794,1,0,7221808,21423905,11863918
cambridge.6,ufscc,8,4.510,2015-11-24.17:28:44,8413,3354295,9483191,3419488,9683133,1,0,9791,6187015,3374883
leader_filters.7,ufscc,8,12.950,2015-11-24.17:28:59,26302351,26302351,91692858,26326505,91791836,1,0,65427736,0,26326505
