model,alg,workers,time,date,sccs,ustates,utrans,tstates,ttrans,initstates,selfloop,claimdead,claimfound,claimsuccess

livej,tarjan,1,2.888175,2015-09-01.19:06:49,971232,4847571,68993773,-1,-1,1,-1,-1,-1,-1
patent,tarjan,1,0.896477,2015-09-01.19:06:52,3774768,3774768,16518948,-1,-1,1,-1,-1,-1,-1
pokec,tarjan,1,1.330749,2015-09-01.19:06:55,325893,1632804,30622564,-1,-1,1,-1,-1,-1,-1
random,tarjan,1,9.950402,2015-09-01.19:07:14,877,10000001,100000000,-1,-1,1,-1,-1,-1,-1
rmat,tarjan,1,8.321376,2015-09-01.19:07:30,2247072,9999994,100000000,-1,-1,1,-1,-1,-1,-1
livej,tarjan,1,2.831529,2015-09-01.19:08:44,971232,4847571,68993773,-1,-1,1,-1,-1,-1,-1
patent,tarjan,1,0.899961,2015-09-01.19:08:46,3774768,3774768,16518948,-1,-1,1,-1,-1,-1,-1
pokec,tarjan,1,1.408365,2015-09-01.19:08:50,325893,1632804,30622564,-1,-1,1,-1,-1,-1,-1
random,tarjan,1,9.965379,2015-09-01.19:09:08,877,10000001,100000000,-1,-1,1,-1,-1,-1,-1
rmat,tarjan,1,8.25406,2015-09-01.19:09:25,2247072,9999994,100000000,-1,-1,1,-1,-1,-1,-1
ssca2,tarjan,1,1.563789,2015-09-01.19:09:38,31,1048577,157877986,-1,-1,1,-1,-1,-1,-1
wiki-links,tarjan,1,4.192542,2015-09-01.19:09:52,2002220,5710993,130160392,-1,-1,1,-1,-1,-1,-1
livej,ufscc,1,6.831483,2015-09-01.19:10:04,971232,4847571,68993773,4847571,68993773,402126,518382,2232250,61797696,4445445
patent,ufscc,1,1.594451,2015-09-01.19:10:07,3774768,3774768,16518948,3774768,16518948,871085,1,13615264,0,2903683
pokec,ufscc,1,3.309793,2015-09-01.19:10:13,325893,1632804,30622564,1632804,30622564,115911,0,1223988,27881683,1516893
livej,ufscc,2,4.002596,2015-09-01.19:11:53,971232,4847571,68993773,4957034,74872452,402005,543095,2345601,67493590,4490166
patent,ufscc,2,1.026778,2015-09-01.19:11:56,3774768,3774768,16518948,3774841,16519430,862099,1,13606666,0,2912763
pokec,ufscc,2,1.794843,2015-09-01.19:12:00,325893,1632804,30622564,1646001,31350525,115974,0,1241148,28592340,1517037
livej,tarjan,1,2.863886,2015-09-01.19:15:07,971232,4847571,68993773,-1,-1,1,-1,-1,-1,-1
patent,tarjan,1,0.907573,2015-09-01.19:15:10,3774768,3774768,16518948,-1,-1,1,-1,-1,-1,-1
pokec,tarjan,1,1.344758,2015-09-01.19:15:14,325893,1632804,30622564,-1,-1,1,-1,-1,-1,-1
random,tarjan,1,10.103782,2015-09-01.19:15:32,877,10000001,100000000,-1,-1,1,-1,-1,-1,-1
rmat,tarjan,1,8.376403,2015-09-01.19:15:49,2247072,9999994,100000000,-1,-1,1,-1,-1,-1,-1
ssca2,tarjan,1,1.675297,2015-09-01.19:16:01,31,1048577,157877986,-1,-1,1,-1,-1,-1,-1
wiki-links,tarjan,1,4.235548,2015-09-01.19:16:15,2002220,5710993,130160392,-1,-1,1,-1,-1,-1,-1
livej,ufscc,1,6.867816,2015-09-01.19:16:28,971232,4847571,68993773,4847571,68993773,402126,518382,2232250,61797696,4445445
patent,ufscc,1,1.603982,2015-09-01.19:16:31,3774768,3774768,16518948,3774768,16518948,871085,1,13615264,0,2903683
pokec,ufscc,1,3.314065,2015-09-01.19:16:37,325893,1632804,30622564,1632804,30622564,115911,0,1223988,27881683,1516893
random,ufscc,1,20.061039,2015-09-01.19:17:05,877,10000001,100000000,10000001,100000000,423,0,8134,89992288,9999578
rmat,ufscc,1,17.878174,2015-09-01.19:17:31,2247072,9999994,100000000,9999994,100000000,1686096,0,1838376,89847726,8313898
ssca2,ufscc,1,5.396418,2015-09-01.19:17:47,31,1048577,157877986,1048577,157877986,22,0,71,156829360,1048555
wiki-links,ufscc,1,10.153916,2015-09-01.19:18:07,2002220,5710993,130160392,5710993,130160392,1963865,12285,3698720,122702259,3747128
livej,ufscc,2,3.835304,2015-09-01.19:18:16,971232,4847571,68993773,4905158,72326812,401911,532003,2295334,65031062,4468413
patent,ufscc,2,0.991894,2015-09-01.19:18:19,3774768,3774768,16518948,3774823,16519209,862151,1,13606509,0,2912699
pokec,ufscc,2,1.805267,2015-09-01.19:18:23,325893,1632804,30622564,1675595,32689032,115970,0,1273741,29891411,1523880
random,ufscc,2,11.356175,2015-09-01.19:18:43,877,10000001,100000000,10363050,102858317,424,0,8285,92850349,9999683
rmat,ufscc,2,9.616026,2015-09-01.19:19:01,2247072,9999994,100000000,10240669,105125130,1686100,0,1911480,94895736,8317914
ssca2,ufscc,2,3.198867,2015-09-01.19:19:15,31,1048577,157877986,1051434,158296158,23,0,73,157244661,1051424
wiki-links,ufscc,2,5.723978,2015-09-01.19:19:30,2002220,5710993,130160392,5852314,139161529,1962892,13427,3701215,131650904,3795983
livej,ufscc,4,2.064483,2015-09-01.19:19:38,971232,4847571,68993773,4870241,71021573,401328,524313,2260038,63780898,4456324
patent,ufscc,4,0.609271,2015-09-01.19:19:40,3774768,3774768,16518948,3774967,16520204,844587,1,13589759,0,2930444
pokec,ufscc,4,1.017781,2015-09-01.19:19:44,325893,1632804,30622564,1664187,32242667,116172,0,1262894,29459094,1520679
random,ufscc,4,5.694869,2015-09-01.19:19:58,877,10000001,100000000,10298595,102986670,426,0,8287,92978635,9999748
rmat,ufscc,4,5.205427,2015-09-01.19:20:11,2247072,9999994,100000000,10199350,105903995,1686103,0,1915023,95673569,8315403
ssca2,ufscc,4,1.728361,2015-09-01.19:20:23,31,1048577,157877986,1109214,167176174,25,0,72,166113877,1062225
wiki-links,ufscc,4,2.891622,2015-09-01.19:20:36,2002220,5710993,130160392,5757015,134820382,1962680,12690,3699417,127347753,3760522
livej,ufscc,6,1.542117,2015-09-01.19:20:43,971232,4847571,68993773,4991229,78480969,401013,556331,2410181,71017006,4497451
patent,ufscc,6,0.436477,2015-09-01.19:20:45,3774768,3774768,16518948,3774905,16519795,833657,1,13578489,0,2941305
pokec,ufscc,6,0.684981,2015-09-01.19:20:48,325893,1632804,30622564,1705803,34053263,116624,0,1309711,31220981,1522571
random,ufscc,6,3.860432,2015-09-01.19:21:00,877,10000001,100000000,10075255,100753071,428,0,8158,90745200,9999713
rmat,ufscc,6,3.601981,2015-09-01.19:21:12,2247072,9999994,100000000,10181892,104557925,1686121,0,1903809,94337590,8316526
ssca2,ufscc,6,1.14321,2015-09-01.19:21:24,31,1048577,157877986,1113960,166433338,27,0,115,165366013,1067210
wiki-links,ufscc,6,2.131221,2015-09-01.19:21:36,2002220,5710993,130160392,5847137,143206045,1963699,13734,3703404,135696988,3791919
livej,ufscc,8,1.142038,2015-09-01.19:21:42,971232,4847571,68993773,4894087,73341094,400872,532196,2312227,66033310,4463361
patent,ufscc,8,0.356374,2015-09-01.19:21:44,3774768,3774768,16518948,3775120,16521032,827441,1,13573168,0,2947863
pokec,ufscc,8,0.551394,2015-09-01.19:21:47,325893,1632804,30622564,1717754,35041236,117353,0,1332427,32186220,1522589
random,ufscc,8,3.168603,2015-09-01.19:21:59,877,10000001,100000000,10085812,100857685,430,0,8175,90848931,10000579
rmat,ufscc,8,2.77437,2015-09-01.19:22:10,2247072,9999994,100000000,10271857,106508965,1686114,0,1935715,96253098,8320152
ssca2,ufscc,8,1.015113,2015-09-01.19:22:22,31,1048577,157877986,1325808,196032861,29,0,275,194945909,1086677
