model,alg,workers,time,date,sccs,ustates,utrans,tstates,ttrans,initstates,selfloop,claimdead,claimfound,claimsuccess

L100L100T4,tarjan,1,1.250,2015-09-01.10:02:43,31,316231,938492,316231,938492,1,-1,-1,-1,-1
L10L10T10,tarjan,1,1.130,2015-09-01.10:02:44,2047,247687,742940,247687,742940,1,-1,-1,-1,-1
L15L15T10,tarjan,1,1.560,2015-09-01.10:02:46,2047,524032,1571840,524032,1571840,1,-1,-1,-1,-1
L1750L1750T0,tarjan,1,7.720,2015-09-01.10:02:54,1,3066001,6132002,3066001,6132002,1,-1,-1,-1,-1
L1750L1750T1,tarjan,1,24.450,2015-09-01.10:03:18,3,9198003,24528008,9198003,24528008,1,-1,-1,-1,-1
L20L20T12,tarjan,1,8.200,2015-09-01.10:03:26,8191,3612231,10836252,3612231,10836252,1,-1,-1,-1,-1
L350L350T4,tarjan,1,11.600,2015-09-01.10:03:38,31,3819231,11334492,3819231,11334492,1,-1,-1,-1,-1
L4L4T16,tarjan,1,7.480,2015-09-01.10:03:46,131071,3276775,9830300,3276775,9830300,1,-1,-1,-1,-1
L80L80T8,tarjan,1,7.910,2015-09-01.10:03:53,511,3352671,10051452,3352671,10051452,1,-1,-1,-1,-1
Li100Lo20,tarjan,1,12.400,2015-09-01.10:04:06,10000,4000000,15920000,4000000,15920000,1,-1,-1,-1,-1
Li10Lo200,tarjan,1,13.340,2015-09-01.10:04:19,100,4000000,15200000,4000000,15200000,1,-1,-1,-1,-1
Li125Lo16,tarjan,1,12.860,2015-09-01.10:04:32,15625,4000000,15936000,4000000,15936000,1,-1,-1,-1,-1
Li16Lo125,tarjan,1,14.050,2015-09-01.10:04:46,256,4000000,15500000,4000000,15500000,1,-1,-1,-1,-1
Li200Lo10,tarjan,1,12.870,2015-09-01.10:04:59,40000,4000000,15960000,4000000,15960000,1,-1,-1,-1,-1
Li20Lo100,tarjan,1,13.050,2015-09-01.10:05:12,400,4000000,15600000,4000000,15600000,1,-1,-1,-1,-1
Li25Lo80,tarjan,1,13.630,2015-09-01.10:05:26,625,4000000,15680000,4000000,15680000,1,-1,-1,-1,-1
Li30Lo67,tarjan,1,12.780,2015-09-01.10:05:39,900,4040100,15891060,4040100,15891060,1,-1,-1,-1,-1
Li40Lo50,tarjan,1,12.800,2015-09-01.10:05:52,1600,4000000,15800000,4000000,15800000,1,-1,-1,-1,-1
Li50Lo40,tarjan,1,12.760,2015-09-01.10:06:05,2500,4000000,15840000,4000000,15840000,1,-1,-1,-1,-1
Li67Lo30,tarjan,1,12.000,2015-09-01.10:06:17,4489,4040100,16039800,4040100,16039800,1,-1,-1,-1,-1
Li80Lo25,tarjan,1,12.300,2015-09-01.10:06:29,6400,4000000,15900000,4000000,15900000,1,-1,-1,-1,-1
L100L100T4,ufscc,1,2.920,2015-09-01.10:06:32,31,316231,938492,316231,938493,1,0,306000,316262,316231
L10L10T10,ufscc,1,2.750,2015-09-01.10:06:35,2047,247687,742940,247687,742941,1,0,245520,249734,247687
L15L15T10,ufscc,1,3.330,2015-09-01.10:06:38,2047,524032,1571840,524032,1571841,1,0,521730,526079,524032
L1750L1750T0,ufscc,1,8.890,2015-09-01.10:06:47,1,3066001,6132002,3066001,6132003,1,0,0,3066002,3066001
L1750L1750T1,ufscc,1,26.410,2015-09-01.10:07:14,3,9198003,24528008,9198003,24528009,1,0,6132000,9198006,9198003
L20L20T12,ufscc,1,10.140,2015-09-01.10:07:24,8191,3612231,10836252,3612231,10836253,1,0,3603600,3620422,3612231
L350L350T4,ufscc,1,12.660,2015-09-01.10:07:37,31,3819231,11334492,3819231,11334493,1,0,3696000,3819262,3819231
L4L4T16,ufscc,1,9.200,2015-09-01.10:07:46,131071,3276775,9830300,3276775,9830301,1,0,3145680,3407846,3276775
L80L80T8,ufscc,1,9.840,2015-09-01.10:07:56,511,3352671,10051452,3352671,10051453,1,0,3345600,3353182,3352671
Li100Lo20,ufscc,1,15.190,2015-09-01.10:08:11,10000,4000000,15920000,4000000,15920001,1,0,7910001,4010000,4000000
Li10Lo200,ufscc,1,17.140,2015-09-01.10:08:29,100,4000000,15200000,4000000,15200001,1,0,7199901,4000100,4000000
Li125Lo16,ufscc,1,15.440,2015-09-01.10:08:44,15625,4000000,15936000,4000000,15936001,1,0,7920376,4015625,4000000
Li16Lo125,ufscc,1,16.270,2015-09-01.10:09:01,256,4000000,15500000,4000000,15500001,1,0,7499745,4000256,4000000
Li200Lo10,ufscc,1,14.860,2015-09-01.10:09:16,40000,4000000,15960000,4000000,15960001,1,0,7920001,4040000,4000000
Li20Lo100,ufscc,1,16.230,2015-09-01.10:09:32,400,4000000,15600000,4000000,15600001,1,0,7599601,4000400,4000000
Li25Lo80,ufscc,1,15.630,2015-09-01.10:09:48,625,4000000,15680000,4000000,15680001,1,0,7679376,4000625,4000000
Li30Lo67,ufscc,1,16.140,2015-09-01.10:10:04,900,4040100,15891060,4040100,15891061,1,0,7809961,4041000,4040100
Li40Lo50,ufscc,1,15.500,2015-09-01.10:10:19,1600,4000000,15800000,4000000,15800001,1,0,7798401,4001600,4000000
Li50Lo40,ufscc,1,15.330,2015-09-01.10:10:35,2500,4000000,15840000,4000000,15840001,1,0,7837501,4002500,4000000
Li67Lo30,ufscc,1,15.730,2015-09-01.10:10:51,4489,4040100,16039800,4040100,16039801,1,0,7955112,4044589,4040100
Li80Lo25,ufscc,1,15.590,2015-09-01.10:11:06,6400,4000000,15900000,4000000,15900001,1,0,7893601,4006400,4000000
L100L100T4,ufscc,2,2.650,2015-09-01.10:11:09,31,316231,938492,316946,941354,1,0,306275,316713,316696
L10L10T10,ufscc,2,2.520,2015-09-01.10:11:12,2047,247687,742940,248304,744952,1,0,245679,250017,248133
L15L15T10,ufscc,2,2.910,2015-09-01.10:11:15,2047,524032,1571840,524502,1573722,1,0,521822,526192,524452
L1750L1750T0,ufscc,2,7.120,2015-09-01.10:11:22,1,3066001,6132002,4217804,8435610,1,0,0,3141177,4211800
L1750L1750T1,ufscc,2,18.100,2015-09-01.10:11:40,3,9198003,24528008,10208852,28213832,1,0,6148913,9401473,10015230
L20L20T12,ufscc,2,6.940,2015-09-01.10:11:47,8191,3612231,10836252,3613159,10839350,1,0,3603737,3620838,3612779
L350L350T4,ufscc,2,8.500,2015-09-01.10:11:56,31,3819231,11334492,3998797,11966546,1,0,3696095,3984013,3834001
L4L4T16,ufscc,2,8.340,2015-09-01.10:12:05,131071,3276775,9830300,4269827,13017050,1,0,3346412,3929045,3981186
L80L80T8,ufscc,2,7.340,2015-09-01.10:12:12,511,3352671,10051452,3623451,10950460,1,0,3356053,3567981,3414432
Li100Lo20,ufscc,2,9.940,2015-09-01.10:12:22,10000,4000000,15920000,4000698,15922692,1,0,7910067,4010346,4000368
Li10Lo200,ufscc,2,11.460,2015-09-01.10:12:34,100,4000000,15200000,4532100,17273401,1,0,7201735,4519189,4013980
Li125Lo16,ufscc,2,11.630,2015-09-01.10:12:45,15625,4000000,15936000,4811332,19175743,1,0,8068697,4457169,4537557
Li16Lo125,ufscc,2,10.510,2015-09-01.10:12:56,256,4000000,15500000,4087606,15795298,1,0,7505460,4062774,4026783
Li200Lo10,ufscc,2,10.970,2015-09-01.10:13:07,40000,4000000,15960000,4529369,18069254,1,0,8062740,4176497,4435265
Li20Lo100,ufscc,2,11.740,2015-09-01.10:13:19,400,4000000,15600000,4803578,18737634,1,0,7629103,4086048,4744152
Li25Lo80,ufscc,2,10.500,2015-09-01.10:13:30,625,4000000,15680000,4026493,15785974,1,0,7679618,4023507,4003502
Li30Lo67,ufscc,2,11.040,2015-09-01.10:13:41,900,4040100,15891060,4376324,17218060,1,0,7865272,4150628,4300744
